team,player,college
CLE,sir'dominic-pointer,St. John's
UTA,dani-diez,
SAS,cady-lalanne,UMass
NOP,branden-dawson,Michigan State
DEN,nikola-radicevic,
PHI,j.p.-tokoto,UNC
ATL,dimitrios-agravanis,
PHI,luka-mitrovic,
PHI,ben-simmons,LSU
LAL,brandon-ingram,Duke
BOS,jaylen-brown,California
PHO,dragan-bender,
MIN,kris-dunn,Providence
NOP,buddy-hield,Oklahoma
DEN,jamal-murray,Kentucky
SAC,marquese-chriss,Washington
TOR,jakob-poeltl,Utah
MIL,thon-maker,
ORL,domantas-sabonis,Gonzaga
UTA,taurean-prince,Baylor
PHO,georgios-papagiannis,
CHI,denzel-valentine,Michigan State
DEN,juan-hernangomez,
BOS,guerschon-yabusele,
MEM,wade-baldwin,Vanderbilt
DET,henry-ellenson,Marquette
DEN,malik-beasley,Florida State
IND,caris-levert,Michigan
ATL,deandre'-bembry,Saint Joseph's
CHO,malachi-richardson,Syracuse
BOS,ante-zizic,
PHI,timothe-luwawu-cabarrot,
LAC,brice-johnson,UNC
PHI,furkan-korkmaz,
TOR,pascal-siakam,New Mexico State
PHO,skal-labissiere,Kentucky
SAS,dejounte-murray,Washington
GSW,damian-jones,Vanderbilt
BOS,deyonta-davis,Michigan State
LAL,ivica-zubac,
LAC,cheick-diallo,Kansas
PHO,tyler-ulis,Kentucky
BOS,rade-zagorac,
MIL,malcolm-brogdon,Virginia
HOU,chinanu-onuaku,Louisville
MIL,patrick-mccaw,UNLV
NOP,david-michineau,
NOP,diamond-stone,Maryland
ORL,stephen-zimmerman,UNLV
UTA,isaiah-whitehead,Seton Hall
HOU,zhou-qi,
ATL,isaia-cordinier,
BOS,demetrius-jackson,Notre Dame
DAL,a.j.-hammons,Purdue
ORL,jake-layman,Maryland
CHI,paul-zipser,
DET,michael-gbinije,Syracuse
IND,georges-niang,Iowa State
BOS,ben-bentil,Providence
UTA,joel-bolomboy,Weber State
DEN,petr-cornelie,
ATL,kay-felder,Oakland
BRK,marcus-paige,UNC
DEN,daniel-hamilton,UConn
MEM,wang-zhelin,
BOS,abdel-nader,Iowa State
SAC,isaiah-cousins,Oklahoma
UTA,tyrone-wallace,California
PHI,markelle-fultz,Washington
LAL,lonzo-ball,UCLA
BOS,jayson-tatum,Duke
PHO,josh-jackson,Kansas
SAC,de'aaron-fox,Kentucky
